%P.Basicos ES 2019;%P.Basicos ES 2020
73,80;84,00
58,10;86,90
46,10;73,20
43,80;83,60
85,50;74,50
69,40;87,30
49,00;87,30
71,40;68,50
48,20;95,50
41,60;73,50
93,90;65,80
52,60;98,80
78,60;67,70
42,90;85,30
91,20;65,50
88,30;71,00
73,30;90,10
59,90;61,00
96,60;84,30
94,50;65,80
86,90;69,80
91,70;87,10
75,50;72,70
91,10;66,90
80,80;62,80
66,30;85,30
78,10;90,70
96,70;69,50
75,30;97,80
81,40;86,00
81,40;97,40
50,10;95,70
64,50;65,80
88,60;72,10
76,00;60,30
63,60;87,50
89,80;81,80
58,10;78,80
89,70;88,30
59,60;61,00
51,70;67,10
54,80;62,70
82,70;94,60
59,30;69,60
79,90;90,00
67,10;66,70
55,10;67,10
42,80;60,60
76,60;63,80
90,20;66,90
86,80;71,40
88,00;82,00
57,50;70,40
77,20;62,80
47,00;92,20
61,00;69,30
56,50;94,60
88,90;71,80
72,40;96,90
46,70;75,40
58,60;89,80
91,70;78,40
97,20;90,50
91,40;84,10
92,40;81,90
70,10;65,70
53,50;73,90
45,50;79,80
46,80;96,60
48,00;87,80
57,30;97,20
73,40;83,00
73,20;78,00
63,60;78,80
87,30;82,50
79,10;65,60
97,30;91,90
57,90;64,30
42,40;73,60
96,60;72,00
63,00;85,30
98,60;75,70
80,60;74,70
41,70;89,60
59,00;68,30
98,50;95,80
94,70;62,30
93,90;73,40
42,30;66,80
45,90;71,50
98,20;78,60
83,60;70,30
90,50;78,90
74,30;90,70
91,70;97,00
57,50;68,90
42,10;97,10
75,60;85,10
58,80;91,20
74,30;89,20
42,70;79,10
78,60;68,90
86,80;87,30
54,10;99,30
59,30;73,00
87,10;79,40
96,50;91,90
90,60;92,30
71,40;72,60
89,40;68,80
40,10;70,40
51,90;69,20
83,10;80,60
63,40;87,10
58,00;73,30
55,50;87,20
65,70;74,40
76,00;65,70
62,10;87,70
81,00;73,10
56,10;78,50
46,20;88,20
92,00;83,60
46,10;93,00
59,70;98,10
64,10;72,20
54,80;97,20
93,90;94,70
40,50;83,40
98,10;63,00
46,50;79,20
78,80;88,90
58,50;92,10
95,30;88,70
43,90;83,30
89,50;96,90
75,10;73,80
58,60;65,50
91,70;89,00
80,20;66,60
56,30;81,60
47,60;73,30
96,40;78,50
52,40;69,40
71,70;62,90
57,10;99,80
41,20;79,20
91,00;72,10
73,60;82,60
89,70;68,60
90,40;98,70
76,60;62,50
57,70;74,80
77,30;96,60
44,30;79,50
56,50;80,30
67,30;79,30
81,10;87,80
97,60;91,20
59,50;65,20
99,70;96,50
83,60;75,40
44,20;61,90
57,90;64,70
75,80;95,00
82,00;99,20
78,70;67,90
65,00;83,90
62,00;70,10
59,60;87,50
75,80;97,70
85,50;99,10
81,40;86,70
72,50;74,40
51,70;94,90
60,50;73,60
73,40;92,70
84,70;63,20
70,10;62,90
81,80;66,20
70,00;94,30
82,20;92,40
51,20;96,40
93,50;97,40
74,00;73,10
96,40;97,40
47,10;78,70
68,40;79,40
40,50;70,40
85,10;77,00
72,80;88,30
67,00;83,40
98,70;84,60
59,30;69,50
80,80;60,10
49,50;87,30
64,80;77,90
63,10;82,90
43,10;94,90
89,00;95,60
59,80;82,00
96,40;70,40
85,50;96,00
60,50;68,80
73,00;60,40
41,80;95,00
86,10;75,10
48,10;78,70
90,20;71,90
81,70;90,40
89,30;62,50
63,20;84,10
89,30;95,10
42,60;64,80
92,10;89,10
50,00;74,90
99,80;66,80
81,50;76,60
94,60;95,00
88,70;66,00
42,10;84,60
73,80;89,40
94,20;74,80
40,40;94,50
42,90;91,30
96,90;86,20
93,70;68,60
65,50;76,00
89,20;89,30
91,10;75,50
47,50;90,70
88,00;73,50
60,80;67,10
65,50;88,00
50,40;72,40
50,80;90,20
49,10;67,60
86,10;96,90
62,20;73,50
83,50;81,40
99,30;85,90
56,70;91,30
78,20;92,30
65,10;70,10
50,00;100,00
49,60;84,30
79,50;68,80
47,70;87,10
49,40;96,30
77,60;96,60
77,70;72,90
60,30;93,50
57,80;91,30
47,50;80,70
85,00;86,90
81,20;97,60
55,10;82,00
79,30;76,60
60,30;78,40
71,70;81,70
60,80;66,10
49,30;87,70
98,50;70,40
80,20;76,10
43,10;78,60
61,40;78,10
49,90;72,20
63,20;94,90
84,10;68,10
86,30;73,00
46,90;99,30
43,50;79,00
64,30;91,00
61,00;76,10
48,20;93,30
63,90;81,00
99,60;97,70
75,00;71,20
85,10;67,30
76,70;97,30
71,70;90,70
83,20;85,20
81,80;76,80
80,20;69,50
91,50;83,40
75,80;71,40
44,80;78,70
44,10;78,60
98,00;90,10
51,30;92,80
59,90;77,00
45,00;63,30
62,80;75,80
47,20;71,10
99,10;99,60
73,90;94,20
98,70;69,10
99,00;76,70
84,10;80,00
83,20;65,10
96,60;73,20
64,40;78,40
89,70;84,00
60,80;67,20
77,70;89,10
56,90;97,90
61,50;66,00
56,80;82,00
44,30;96,10
88,20;96,10
58,50;77,60
47,60;64,10
75,90;61,40
76,50;63,40
91,50;66,50
83,80;91,20
78,30;83,30
55,80;66,40
59,20;64,30
77,20;82,90
56,50;72,20
88,40;94,00
57,70;70,00
89,60;67,10
82,30;85,30
59,90;88,90
94,00;81,20
81,00;75,70
89,00;93,30
46,10;96,90
78,20;85,50
61,50;94,40
86,30;96,30
48,50;99,00
81,60;91,80
73,70;60,80
60,30;91,70
57,00;77,70
81,90;83,40
87,70;70,90
60,90;79,30
63,50;90,20
71,50;95,00
73,20;99,90
70,90;97,40
43,00;87,80
89,40;99,60
89,60;93,50
73,20;72,50
65,70;63,60
95,60;93,70
78,20;72,60
42,10;75,60
60,10;66,10
62,60;88,00
57,30;73,60
47,70;89,00
77,00;76,50
83,70;73,00
47,90;67,30
64,10;71,40
65,60;98,20
43,00;62,90
72,80;82,80
86,40;93,90
55,80;70,30
57,80;78,90
72,60;62,80
70,20;82,10
60,50;80,30
69,60;96,00
94,80;77,70
60,90;86,70
82,50;77,00
95,20;65,30
68,30;66,20
97,00;97,90
94,40;92,30
97,40;97,70
43,70;96,00
61,80;78,70
67,30;71,40
56,50;92,50
98,20;67,60
74,40;76,50
70,40;84,50
88,30;66,00
97,40;92,80
79,10;74,60
77,20;94,50
53,90;74,70
62,40;72,50
59,80;91,90
85,60;79,00
75,50;76,00
81,60;62,50
58,60;69,40
63,10;71,30
92,30;89,60
73,20;84,70
83,40;67,30
71,80;99,70
67,80;61,70
78,20;99,90
50,30;77,90
86,50;60,30
45,00;77,30
48,80;74,60
75,40;75,50
88,70;91,40
51,40;74,90
52,00;91,50
95,30;85,80
98,80;79,00
45,00;86,10
41,90;96,70
55,50;97,90
82,00;71,80
87,00;62,10
59,40;93,70
49,90;88,40
63,30;61,70
47,00;67,30
47,50;74,50
85,80;78,70
86,90;64,60
46,70;78,40
61,20;67,30
43,60;91,60
44,50;86,10
86,80;93,50
61,10;87,40
78,60;64,30
91,80;97,60
57,50;93,10
93,90;74,50
91,20;90,20
56,90;60,10
71,50;70,40
89,20;80,20
68,20;70,30
65,50;86,40
46,50;62,40
45,00;77,10
64,70;70,70
52,90;98,00
85,40;92,50
47,00;99,50
66,10;93,20
68,00;63,90
56,30;75,70
78,60;63,00
81,70;94,70
40,60;96,00
89,10;74,70
62,30;84,00
93,80;64,30
57,90;88,80
52,70;64,30
85,60;98,00
84,00;98,30
93,00;73,50
71,20;66,10
51,40;81,30
75,00;94,50
41,10;79,00
68,80;89,10
87,70;62,30
57,40;77,50
46,90;69,80
81,50;88,40
98,70;83,00
97,90;94,00
94,30;82,80
42,80;82,80
52,20;94,30
42,50;76,80
97,50;75,40
93,40;62,20
56,10;63,60
89,30;98,20
50,60;95,90
68,20;78,30
60,70;86,90
73,60;83,50
44,20;72,10
69,30;74,50
86,10;71,90
56,40;82,80
98,40;98,20
83,50;92,70
84,50;96,50
43,20;89,60
82,30;91,70
78,10;79,80
95,90;85,10
96,80;94,20
47,70;85,90
89,80;68,60
63,70;67,80
41,00;72,40
86,10;69,40
77,10;64,80
52,90;90,90
71,60;60,90
60,30;88,70
41,90;63,70
68,70;69,90
47,60;80,60
72,70;84,80
73,60;99,00
75,70;89,60
43,60;65,70
49,50;75,40
89,00;87,70
60,60;93,00
73,60;93,00
62,40;62,40
46,10;86,30
51,00;96,10
42,70;76,80
50,90;99,30
64,50;61,30
47,00;85,50
41,10;88,90
71,10;93,80
49,10;79,60
77,40;82,90
63,50;78,50
68,30;77,20
59,80;73,50
73,50;85,20
50,80;87,20
95,50;91,40
88,60;81,90
93,10;65,00
95,30;66,10
100,00;93,20
90,70;62,60
51,70;64,20
41,60;89,00
42,80;92,80
49,20;68,20
43,00;76,50
59,90;93,50
74,60;70,40
93,90;87,30
47,70;85,70
42,90;81,90
64,90;79,50
85,30;85,80
48,80;88,50
95,20;90,00
54,80;68,20
98,20;76,70
45,60;69,10
87,10;73,30
54,90;88,20
43,10;62,40
90,30;62,80
58,80;63,00
83,10;97,50
91,50;71,60
66,40;84,40
54,70;88,40
41,40;78,00
78,50;68,60
42,30;97,80
91,70;75,20
71,90;89,10
74,40;68,10
57,50;78,80
48,00;76,00
79,50;61,30
85,70;91,60
69,00;74,90
93,20;88,90
83,30;86,20
82,20;95,50
61,80;87,90
84,40;89,90
69,80;84,20
51,90;84,80
82,80;71,50
48,30;69,70
84,10;70,80
63,30;62,10
67,40;81,10
41,90;62,10
74,60;64,20
91,20;88,20
50,80;83,20
47,60;80,30
70,20;74,80
50,70;63,80
49,80;97,70
50,20;97,30
40,20;93,20
73,20;76,80
44,10;73,10
79,50;78,40
71,40;61,60
81,20;98,50
71,80;75,20
85,80;75,30
67,10;78,50
70,40;76,60
82,40;71,20
81,30;91,00
68,80;98,90
68,70;60,90
63,10;79,70
59,20;73,50
85,40;75,30
87,80;78,30
91,30;87,10
89,40;64,70
96,90;98,80
79,70;95,60
72,90;67,00
59,50;81,00
91,20;76,50
84,70;64,10
44,10;91,60
89,30;99,80
49,90;70,80
82,90;98,10
63,50;71,30
71,80;79,40
58,60;71,30
41,10;95,80
91,20;62,40
88,90;98,50
61,10;76,70
54,20;66,50
41,70;85,60
62,60;92,90
69,00;89,40
52,30;66,00
97,50;60,30
79,00;76,50
56,50;67,50
95,40;73,20
58,60;92,20
80,50;66,40
69,60;95,70
55,90;81,50
50,50;88,00
66,20;63,50
81,90;63,80
42,50;78,90
48,90;72,40
89,40;69,70
50,70;92,80
51,40;82,40
96,40;94,80
86,90;60,20
41,40;66,20
96,20;62,10
96,40;78,20
41,80;93,50
56,80;71,50
59,80;81,70
76,90;64,00
48,20;75,60
70,20;63,90
77,40;63,00
94,00;97,50
90,30;60,30
81,70;77,50
90,00;79,90
83,40;86,40
66,20;74,70
97,90;82,90
55,10;86,50
78,10;69,10
44,20;61,30
61,30;71,90
79,10;79,80
61,80;71,40
67,50;89,50
45,30;70,10
41,20;85,10
95,50;81,50
53,10;62,90
48,40;94,80
65,40;63,60
99,50;88,00
44,60;86,10
72,00;76,90
88,70;91,00
46,70;99,80
98,70;69,90
97,10;85,20
66,80;84,50
83,70;71,60
50,30;73,40
93,80;88,30
74,90;72,20
83,20;70,60
64,30;81,90
76,60;65,70
91,40;81,30
90,70;72,50
41,70;86,60
69,90;84,60
92,20;71,60
80,20;82,40
70,10;88,70
60,00;65,10
83,50;90,30
83,90;99,90
44,30;74,00
52,50;60,00
81,00;60,40
88,20;82,00
88,60;63,50
41,50;86,60
73,20;85,50
75,80;86,00
93,60;98,20
62,60;94,60
56,60;88,40
81,50;92,40
64,30;78,40
59,60;93,80
80,00;63,80
50,30;86,30
66,10;96,20
73,10;63,60
68,20;76,80
49,60;78,50
81,70;69,50
75,90;84,30
99,50;99,40
73,40;95,70
45,80;79,30
49,10;98,40
80,80;62,70
56,70;61,20
63,70;68,80
67,70;71,90
72,90;65,50
96,50;88,30
67,10;99,50
80,00;77,60
87,90;62,50
82,30;83,50
51,60;66,40
89,00;62,30
89,10;73,60
63,30;95,80
54,80;82,40
58,40;82,20
48,00;78,20
77,10;98,40
93,90;90,60
46,00;74,40
76,50;60,40
86,10;65,00
51,90;79,50
53,10;60,40
42,80;96,30
88,60;86,90
82,60;86,20
41,80;77,10
89,10;85,80
46,60;79,40
74,50;65,20
46,70;65,80
67,40;91,70
70,70;91,90
72,40;67,20
90,30;65,70
68,00;91,80
90,80;80,00
52,60;69,10
79,20;70,40
82,90;71,20
64,10;72,40
84,60;77,00
42,20;96,50
99,50;95,40
71,50;88,30
50,90;67,20
91,30;78,00
60,00;63,70
49,10;100,00
79,00;92,20
42,20;81,80
63,70;82,90
66,80;93,10
43,00;88,70
85,10;71,00
72,40;60,50
52,90;74,30
55,80;93,90
74,40;69,70
69,10;66,10
68,90;71,80
88,20;91,30
77,60;70,00
70,00;76,10
79,60;67,70
48,20;84,00
42,00;78,00
48,50;60,60
68,60;80,90
49,30;79,40
90,80;74,30
58,20;69,80
69,60;99,30
52,10;70,00
47,60;92,40
93,20;87,60
87,30;63,20
73,20;78,40
95,10;88,70
58,10;78,80
40,20;76,00
65,20;99,30
46,10;88,40
99,50;89,70
55,10;74,20
84,50;79,40
94,00;78,00
92,60;86,20
84,90;66,90
40,40;82,90
45,80;89,30
62,50;97,50
98,90;72,70
69,40;93,40
79,00;84,80
47,10;77,30
51,40;98,20
89,70;67,50
80,90;85,50
54,20;61,00
63,30;67,20
88,00;93,80
87,00;61,80
82,70;60,70
52,00;83,20
47,40;93,10
41,80;68,20
90,30;87,10
98,80;66,90
95,50;66,00
96,30;92,30
99,30;70,60
67,40;63,50
67,20;88,60
94,30;68,60
51,80;86,00
53,30;85,90
85,90;70,50
50,50;92,20
61,00;74,30
48,40;89,70
54,20;83,10
85,00;61,30
51,70;68,60
66,70;96,40
40,10;62,50
61,50;73,90
60,20;62,60
50,80;62,60
51,90;97,10
68,60;89,70
98,60;72,30
41,10;92,90
73,10;96,80
59,30;80,50
71,00;90,40
48,80;89,20
65,30;96,50
90,40;63,60
90,70;88,80
97,20;72,60
83,40;72,80
56,10;73,30
55,20;72,80
64,60;66,60
46,50;65,70
72,20;82,20
98,10;96,70
64,70;91,80
71,50;93,50
94,90;97,40
81,90;93,00
82,70;75,80
49,30;80,90
67,80;62,40
63,60;73,40
97,80;97,50
63,60;90,90
82,00;99,70
42,70;73,40
88,80;96,40
99,80;94,10
58,10;70,20
57,10;73,40
59,10;83,10
46,20;60,00
64,60;61,80
89,90;94,30
91,30;70,60
89,60;89,80
63,90;80,80
94,00;92,40
97,30;73,40
88,30;77,30
95,70;75,10
56,30;84,70
93,60;87,70
82,90;62,20
88,00;63,20
92,40;80,20
95,60;96,80
59,80;83,90
82,50;94,50
75,10;65,30
76,00;66,80
86,50;91,30
97,80;76,00
94,40;72,40
46,60;97,30
69,60;96,50
50,30;83,20
70,10;91,00
95,10;74,10
67,80;79,70
79,80;78,10
51,60;73,20
47,30;65,00
76,40;84,60
45,80;86,70
43,20;66,90
89,40;83,40
88,60;67,90
77,20;92,80
41,50;66,60
78,90;77,00
64,50;93,10
56,90;79,90
72,80;73,80
61,00;72,00
61,00;74,00
67,80;69,20
73,90;88,60
93,20;77,80
48,50;71,20
86,10;64,10
77,70;82,60
91,60;62,30
90,20;67,80
42,00;73,90
47,80;80,10
70,00;94,40
57,70;68,40
61,10;66,00
43,20;69,00
82,00;92,00
96,90;73,40
99,60;91,30
98,70;75,10
45,80;63,00
78,10;78,40
71,90;62,10
56,50;88,80
69,90;91,90
78,50;61,90
70,40;73,80
89,10;74,80
97,20;71,10
69,50;63,40
59,00;74,30
41,10;94,30
49,20;79,10
84,70;65,20
94,90;75,10
72,10;73,10
91,20;60,60
96,40;60,60
60,60;73,10
99,40;78,20
71,80;71,70
54,70;82,30
58,70;79,20
83,00;77,30
51,40;68,40
59,90;61,90
54,80;95,10
92,10;95,10
65,70;92,90
59,10;65,10
77,50;70,50
60,80;91,70
74,60;63,90
47,20;97,60
90,20;80,40
51,60;71,70
80,00;87,60
85,20;76,70
85,50;62,90
73,90;95,70
85,50;98,60
89,40;99,90
83,10;92,80
48,90;96,40
98,50;61,00
46,00;96,70
47,70;82,30
65,70;80,30
81,60;97,60
41,50;93,10
64,30;89,80
99,30;65,40
93,30;68,00
97,70;80,40
46,90;75,30
62,50;65,60
95,50;96,30
72,30;67,40
90,10;93,40
86,50;93,40
47,90;67,20
83,20;90,60
68,10;81,50
78,00;68,60
65,30;76,70
57,40;71,40
90,80;94,80
71,40;94,80
98,70;65,10
62,20;71,20
60,80;79,80
79,10;63,60
85,20;69,00
59,00;79,80
51,40;87,30
82,20;84,70
50,50;87,30
44,80;83,20
69,50;68,40
68,00;75,40
80,80;96,40
45,40;78,70
68,10;82,30
50,50;99,00
67,30;92,90
56,60;83,00
55,60;78,60
69,40;71,90
59,70;90,20
57,30;81,80
40,00;72,30
62,20;94,00
99,40;66,10
40,60;74,00
50,60;98,80
69,90;62,50
74,40;72,70
78,30;64,90
66,50;68,90
61,70;62,30
41,10;98,90
63,00;77,00
74,50;65,10
84,20;80,50
92,50;69,80
43,60;89,70
46,70;79,10
78,60;86,80
75,60;98,40
77,30;95,00
90,00;66,60
89,30;64,60
67,00;64,60
91,70;87,50
92,20;89,80
52,60;65,80
77,30;99,80
60,00;67,90
83,70;67,80
54,10;93,70
40,20;81,90
50,90;85,80
86,50;99,20
83,70;93,00
55,50;88,60
70,30;91,80
92,10;88,30
96,50;71,50
61,00;65,50
50,00;69,70
92,30;62,10
74,30;96,70
47,00;84,60
47,90;65,00
65,00;88,50
40,00;66,00
59,70;95,10
72,30;82,30
49,50;78,50
86,70;88,50
72,30;84,10
56,60;94,30
54,20;62,90
44,60;85,30
81,20;72,00
76,00;81,50
46,50;67,30
88,50;78,90
73,40;91,00
98,80;75,50
80,20;70,30
